survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,family_size,is_alone
0,3,0,22.0,1.0,0.0,7.25,S,Third,man,True,C,Southampton,0,False,2.0,0
1,1,1,38.0,1.0,0.0,71.2833,C,First,woman,False,C,Cherbourg,1,False,2.0,0
1,3,1,26.0,0.0,0.0,7.925,S,Third,woman,False,C,Southampton,1,True,1.0,1
1,1,1,35.0,1.0,0.0,53.1,S,First,woman,False,C,Southampton,1,False,2.0,0
0,3,0,35.0,0.0,0.0,8.05,S,Third,man,True,C,Southampton,0,True,1.0,1
0,3,0,28.25,0.0,0.0,8.4583,Q,Third,man,True,C,Queenstown,0,True,1.0,1
0,1,0,54.0,0.0,0.0,51.8625,S,First,man,True,E,Southampton,0,True,1.0,1
0,3,0,2.0,2.5,1.0,21.075,S,Third,child,False,C,Southampton,0,False,4.5,0
1,3,1,27.0,0.0,2.0,11.1333,S,Third,woman,False,C,Southampton,1,False,3.0,0
1,2,1,14.0,1.0,0.0,30.0708,C,Second,child,False,C,Cherbourg,1,False,2.0,0
1,3,1,4.0,1.0,1.0,16.7,S,Third,child,False,G,Southampton,1,False,3.0,0
1,1,1,57.0,0.0,0.0,26.55,S,First,woman,False,C,Southampton,1,True,1.0,1
0,3,0,20.0,0.0,0.0,8.05,S,Third,man,True,C,Southampton,0,True,1.0,1
0,3,0,39.0,1.0,2.5,31.275,S,Third,man,True,C,Southampton,0,False,4.5,0
0,3,1,14.0,0.0,0.0,7.8542,S,Third,child,False,C,Southampton,0,True,1.0,1
1,2,1,55.0,0.0,0.0,16.0,S,Second,woman,False,C,Southampton,1,True,1.0,1
0,3,0,2.0,2.5,1.0,29.125,Q,Third,child,False,C,Queenstown,0,False,4.5,0
1,2,0,28.25,0.0,0.0,13.0,S,Second,man,True,C,Southampton,1,True,1.0,1
0,3,1,31.0,1.0,0.0,18.0,S,Third,woman,False,C,Southampton,0,False,2.0,0
1,3,1,28.25,0.0,0.0,7.225,C,Third,woman,False,C,Cherbourg,1,True,1.0,1
0,2,0,35.0,0.0,0.0,26.0,S,Second,man,True,C,Southampton,0,True,1.0,1
1,2,0,34.0,0.0,0.0,13.0,S,Second,man,True,D,Southampton,1,True,1.0,1
1,3,1,15.0,0.0,0.0,8.0292,Q,Third,child,False,C,Queenstown,1,True,1.0,1
1,1,0,28.0,0.0,0.0,35.5,S,First,man,True,A,Southampton,1,True,1.0,1
0,3,1,8.0,2.5,1.0,21.075,S,Third,child,False,C,Southampton,0,False,4.5,0
1,3,1,38.0,1.0,2.5,31.3875,S,Third,woman,False,C,Southampton,1,False,4.5,0
0,3,0,28.25,0.0,0.0,7.225,C,Third,man,True,C,Cherbourg,0,True,1.0,1
0,1,0,19.0,2.5,2.0,73.198375,S,First,man,True,C,Southampton,0,False,5.5,0
1,3,1,28.25,0.0,0.0,7.8792,Q,Third,woman,False,C,Queenstown,1,True,1.0,1
0,3,0,28.25,0.0,0.0,7.8958,S,Third,man,True,C,Southampton,0,True,1.0,1
0,1,0,40.0,0.0,0.0,27.7208,C,First,man,True,C,Cherbourg,0,True,1.0,1
1,1,1,28.25,1.0,0.0,73.198375,C,First,woman,False,B,Cherbourg,1,False,2.0,0
1,3,1,28.25,0.0,0.0,7.75,Q,Third,woman,False,C,Queenstown,1,True,1.0,1
0,2,0,57.0,0.0,0.0,10.5,S,Second,man,True,C,Southampton,0,True,1.0,1
0,1,0,28.0,1.0,0.0,73.198375,C,First,man,True,C,Cherbourg,0,False,2.0,0
0,1,0,42.0,1.0,0.0,52.0,S,First,man,True,C,Southampton,0,False,2.0,0
1,3,0,28.25,0.0,0.0,7.2292,C,Third,man,True,C,Cherbourg,1,True,1.0,1
0,3,0,21.0,0.0,0.0,8.05,S,Third,man,True,C,Southampton,0,True,1.0,1
0,3,1,18.0,2.0,0.0,18.0,S,Third,woman,False,C,Southampton,0,False,3.0,0
1,3,1,14.0,1.0,0.0,11.2417,C,Third,child,False,C,Cherbourg,1,False,2.0,0
0,3,1,40.0,1.0,0.0,9.475,S,Third,woman,False,C,Southampton,0,False,2.0,0
0,2,1,27.0,1.0,0.0,21.0,S,Second,woman,False,C,Southampton,0,False,2.0,0
0,3,0,28.25,0.0,0.0,7.8958,C,Third,man,True,C,Cherbourg,0,True,1.0,1
1,2,1,3.0,1.0,2.0,41.5792,C,Second,child,False,C,Cherbourg,1,False,4.0,0
1,3,1,19.0,0.0,0.0,7.8792,Q,Third,woman,False,C,Queenstown,1,True,1.0,1
0,3,0,28.25,0.0,0.0,8.05,S,Third,man,True,C,Southampton,0,True,1.0,1
0,3,0,28.25,1.0,0.0,15.5,Q,Third,man,True,C,Queenstown,0,False,2.0,0
0,3,0,28.25,2.0,0.0,21.6792,C,Third,man,True,C,Cherbourg,0,False,3.0,0
0,3,1,18.0,1.0,0.0,17.8,S,Third,woman,False,C,Southampton,0,False,2.0,0
0,3,0,7.0,2.5,1.0,39.6875,S,Third,child,False,C,Southampton,0,False,4.5,0
0,3,0,21.0,0.0,0.0,7.8,S,Third,man,True,C,Southampton,0,True,1.0,1
1,1,1,49.0,1.0,0.0,73.198375,C,First,woman,False,D,Cherbourg,1,False,2.0,0
1,2,1,29.0,1.0,0.0,26.0,S,Second,woman,False,C,Southampton,1,False,2.0,0
0,1,0,57.0,0.0,1.0,61.9792,C,First,man,True,B,Cherbourg,0,False,2.0,0
1,1,0,28.25,0.0,0.0,35.5,S,First,man,True,C,Southampton,1,True,1.0,1
1,2,1,21.0,0.0,0.0,10.5,S,Second,woman,False,C,Southampton,1,True,1.0,1
0,3,0,28.5,0.0,0.0,7.2292,C,Third,man,True,C,Cherbourg,0,True,1.0,1
1,2,1,5.0,1.0,2.0,27.75,S,Second,child,False,C,Southampton,1,False,4.0,0
0,3,0,11.0,2.5,2.0,46.9,S,Third,child,False,C,Southampton,0,False,5.5,0
0,3,0,22.0,0.0,0.0,7.2292,C,Third,man,True,C,Cherbourg,0,True,1.0,1
1,1,1,38.0,0.0,0.0,73.198375,S,First,woman,False,B,Southampton,1,True,1.0,1
0,1,0,45.0,1.0,0.0,73.198375,S,First,man,True,C,Southampton,0,False,2.0,0
0,3,0,4.0,2.5,2.0,27.9,S,Third,child,False,C,Southampton,0,False,5.5,0
0,1,0,28.25,0.0,0.0,27.7208,C,First,man,True,C,Cherbourg,0,True,1.0,1
1,3,0,28.25,1.0,1.0,15.2458,C,Third,man,True,C,Cherbourg,1,False,3.0,0
1,2,1,29.0,0.0,0.0,10.5,S,Second,woman,False,F,Southampton,1,True,1.0,1
0,3,0,19.0,0.0,0.0,8.1583,S,Third,man,True,C,Southampton,0,True,1.0,1
1,3,1,17.0,2.5,2.0,7.925,S,Third,woman,False,C,Southampton,1,False,5.5,0
0,3,0,26.0,2.0,0.0,8.6625,S,Third,man,True,C,Southampton,0,False,3.0,0
0,2,0,32.0,0.0,0.0,10.5,S,Second,man,True,C,Southampton,0,True,1.0,1
0,3,1,16.0,2.5,2.0,46.9,S,Third,woman,False,C,Southampton,0,False,5.5,0
0,2,0,21.0,0.0,0.0,73.198375,S,Second,man,True,C,Southampton,0,True,1.0,1
0,3,0,26.0,1.0,0.0,14.4542,C,Third,man,True,C,Cherbourg,0,False,2.0,0
1,3,0,32.0,0.0,0.0,56.4958,S,Third,man,True,C,Southampton,1,True,1.0,1
0,3,0,25.0,0.0,0.0,7.65,S,Third,man,True,F,Southampton,0,True,1.0,1
1,2,0,1.0,0.0,2.0,29.0,S,Second,child,False,C,Southampton,1,False,3.0,0
1,3,1,30.0,0.0,0.0,12.475,S,Third,woman,False,C,Southampton,1,True,1.0,1
0,3,0,22.0,0.0,0.0,9.0,S,Third,man,True,C,Southampton,0,True,1.0,1
1,3,0,29.0,0.0,0.0,9.5,S,Third,man,True,C,Southampton,1,True,1.0,1
1,3,1,28.25,0.0,0.0,7.7875,Q,Third,woman,False,C,Queenstown,1,True,1.0,1
0,1,0,28.0,0.0,0.0,47.1,S,First,man,True,C,Southampton,0,True,1.0,1
1,2,1,17.0,0.0,0.0,10.5,S,Second,woman,False,C,Southampton,1,True,1.0,1
1,3,1,33.0,2.5,0.0,15.85,S,Third,woman,False,C,Southampton,1,False,3.5,0
0,3,0,16.0,1.0,2.5,34.375,S,Third,man,True,C,Southampton,0,False,4.5,0
1,1,1,23.0,2.5,2.0,73.198375,S,First,woman,False,C,Southampton,1,False,5.5,0
0,3,0,24.0,0.0,0.0,8.05,S,Third,man,True,C,Southampton,0,True,1.0,1
0,3,0,29.0,0.0,0.0,8.05,S,Third,man,True,C,Southampton,0,True,1.0,1
0,3,0,20.0,0.0,0.0,7.8542,S,Third,man,True,C,Southampton,0,True,1.0,1
0,1,0,46.0,1.0,0.0,61.175,S,First,man,True,E,Southampton,0,False,2.0,0
0,3,0,26.0,1.0,2.0,20.575,S,Third,man,True,C,Southampton,0,False,4.0,0
0,3,0,57.0,0.0,0.0,7.25,S,Third,man,True,C,Southampton,0,True,1.0,1
0,1,0,57.0,0.0,0.0,34.6542,C,First,man,True,A,Cherbourg,0,True,1.0,1
1,1,0,23.0,0.0,1.0,63.3583,C,First,man,True,D,Cherbourg,1,False,2.0,0
1,2,1,34.0,0.0,1.0,23.0,S,Second,woman,False,C,Southampton,1,False,2.0,0
0,2,0,34.0,1.0,0.0,26.0,S,Second,man,True,C,Southampton,0,False,2.0,0
0,3,1,28.0,0.0,0.0,7.8958,S,Third,woman,False,C,Southampton,0,True,1.0,1
0,1,0,21.0,0.0,1.0,73.198375,S,First,man,True,D,Southampton,0,False,2.0,0
0,3,0,33.0,0.0,0.0,8.6542,S,Third,man,True,C,Southampton,0,True,1.0,1
0,3,0,37.0,2.0,0.0,7.925,S,Third,man,True,C,Southampton,0,False,3.0,0
0,3,0,28.0,0.0,0.0,7.8958,S,Third,man,True,C,Southampton,0,True,1.0,1
1,3,1,21.0,0.0,0.0,7.65,S,Third,woman,False,C,Southampton,1,True,1.0,1
1,3,0,28.25,0.0,0.0,7.775,S,Third,man,True,C,Southampton,1,True,1.0,1
0,3,0,38.0,0.0,0.0,7.8958,S,Third,man,True,C,Southampton,0,True,1.0,1
1,3,1,28.25,1.0,0.0,24.15,Q,Third,woman,False,C,Queenstown,1,False,2.0,0
0,1,0,47.0,0.0,0.0,52.0,S,First,man,True,C,Southampton,0,True,1.0,1
0,3,1,14.5,1.0,0.0,14.4542,C,Third,child,False,C,Cherbourg,0,False,2.0,0
0,3,0,22.0,0.0,0.0,8.05,S,Third,man,True,C,Southampton,0,True,1.0,1
0,3,1,20.0,1.0,0.0,9.825,S,Third,woman,False,C,Southampton,0,False,2.0,0
0,3,1,17.0,0.0,0.0,14.4583,C,Third,woman,False,C,Cherbourg,0,True,1.0,1
0,3,0,21.0,0.0,0.0,7.925,S,Third,man,True,C,Southampton,0,True,1.0,1
0,3,0,57.0,0.0,0.0,7.75,Q,Third,man,True,C,Queenstown,0,True,1.0,1
0,2,0,29.0,1.0,0.0,21.0,S,Second,man,True,C,Southampton,0,False,2.0,0
0,1,0,24.0,0.0,1.0,73.198375,C,First,man,True,B,Cherbourg,0,False,2.0,0
0,3,1,2.0,2.5,2.0,31.275,S,Third,child,False,C,Southampton,0,False,5.5,0
0,2,0,21.0,2.0,0.0,73.198375,S,Second,man,True,C,Southampton,0,False,3.0,0
0,2,0,32.5,1.0,0.0,30.0708,C,Second,man,True,C,Cherbourg,0,False,2.0,0
1,2,1,32.5,0.0,0.0,13.0,S,Second,woman,False,E,Southampton,1,True,1.0,1
0,1,0,54.0,0.0,1.0,73.198375,S,First,man,True,D,Southampton,0,False,2.0,0
1,3,0,12.0,1.0,0.0,11.2417,C,Third,child,False,C,Cherbourg,1,False,2.0,0
0,3,0,28.25,0.0,0.0,7.75,Q,Third,man,True,C,Queenstown,0,True,1.0,1
1,3,0,24.0,0.0,0.0,7.1417,S,Third,man,True,C,Southampton,1,True,1.0,1
1,3,1,28.25,1.0,1.0,22.3583,C,Third,woman,False,F,Cherbourg,1,False,3.0,0
0,3,0,45.0,0.0,0.0,6.975,S,Third,man,True,C,Southampton,0,True,1.0,1
0,3,0,33.0,0.0,0.0,7.8958,C,Third,man,True,C,Cherbourg,0,True,1.0,1
0,3,0,20.0,0.0,0.0,7.05,S,Third,man,True,C,Southampton,0,True,1.0,1
0,3,1,47.0,1.0,0.0,14.5,S,Third,woman,False,C,Southampton,0,False,2.0,0
0,2,0,25.0,0.0,0.0,13.0,S,Second,man,True,C,Southampton,0,True,1.0,1
0,2,0,23.0,0.0,0.0,15.0458,C,Second,man,True,C,Cherbourg,0,True,1.0,1
1,1,1,19.0,0.0,2.0,26.2833,S,First,woman,False,D,Southampton,1,False,3.0,0
0,1,0,37.0,1.0,0.0,53.1,S,First,man,True,C,Southampton,0,False,2.0,0
0,3,0,16.0,0.0,0.0,9.2167,S,Third,man,True,C,Southampton,0,True,1.0,1
0,1,0,24.0,0.0,0.0,73.198375,C,First,man,True,B,Cherbourg,0,True,1.0,1
0,3,1,28.25,0.0,2.0,15.2458,C,Third,woman,False,C,Cherbourg,0,False,3.0,0
1,3,1,22.0,0.0,0.0,7.75,S,Third,woman,False,C,Southampton,1,True,1.0,1
1,3,1,24.0,1.0,0.0,15.85,S,Third,woman,False,C,Southampton,1,False,2.0,0
0,3,0,19.0,0.0,0.0,6.75,Q,Third,man,True,C,Queenstown,0,True,1.0,1
0,2,0,18.0,0.0,0.0,11.5,S,Second,man,True,C,Southampton,0,True,1.0,1
0,2,0,19.0,1.0,1.0,36.75,S,Second,man,True,C,Southampton,0,False,3.0,0
1,3,0,27.0,0.0,0.0,7.7958,S,Third,man,True,C,Southampton,1,True,1.0,1
0,3,1,9.0,2.0,2.0,34.375,S,Third,child,False,C,Southampton,0,False,5.0,0
0,2,0,36.5,0.0,2.0,26.0,S,Second,man,True,F,Southampton,0,False,3.0,0
0,2,0,42.0,0.0,0.0,13.0,S,Second,man,True,C,Southampton,0,True,1.0,1
0,2,0,51.0,0.0,0.0,12.525,S,Second,man,True,C,Southampton,0,True,1.0,1
1,1,1,22.0,1.0,0.0,66.6,S,First,woman,False,C,Southampton,1,False,2.0,0
0,3,0,55.5,0.0,0.0,8.05,S,Third,man,True,C,Southampton,0,True,1.0,1
0,3,0,40.5,0.0,2.0,14.5,S,Third,man,True,C,Southampton,0,False,3.0,0
0,3,0,28.25,0.0,0.0,7.3125,S,Third,man,True,C,Southampton,0,True,1.0,1
0,1,0,51.0,0.0,1.0,61.3792,C,First,man,True,C,Cherbourg,0,False,2.0,0
1,3,1,16.0,0.0,0.0,7.7333,Q,Third,woman,False,C,Queenstown,1,True,1.0,1
0,3,0,30.0,0.0,0.0,8.05,S,Third,man,True,C,Southampton,0,True,1.0,1
0,3,0,28.25,0.0,0.0,8.6625,S,Third,man,True,C,Southampton,0,True,1.0,1
0,3,0,28.25,2.5,2.0,69.55,S,Third,man,True,C,Southampton,0,False,5.5,0
0,3,0,44.0,0.0,1.0,16.1,S,Third,man,True,C,Southampton,0,False,2.0,0
1,2,1,40.0,0.0,0.0,15.75,S,Second,woman,False,C,Southampton,1,True,1.0,1
0,3,0,26.0,0.0,0.0,7.775,S,Third,man,True,C,Southampton,0,True,1.0,1
0,3,0,17.0,0.0,0.0,8.6625,S,Third,man,True,C,Southampton,0,True,1.0,1
0,3,0,1.0,2.5,1.0,39.6875,S,Third,child,False,C,Southampton,0,False,4.5,0
